Uuid,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_order:1000
29b7e28c-71bf-4442-9f38-b9a9d57fadc9,Capsule(s),Capsule(s),Capsule(s),Capsule(s),Misc,N/A,
86239663-7b04-4563-b877-d7efc4fe6c46,Comprimé(s),Comprimé(s),Comprimé(s),Comprimé(s),Misc,N/A,
9d65f54b-3f10-11e4-adec-0800271c1b75,ml,ml,ml,ml,Misc,N/A,
9d6691d8-3f10-11e4-adec-0800271c1b75,mg,mg,mg,mg,Misc,N/A,
333eb629-8a92-11e4-977f-0800271c1b75,Unité internationale - UI,Unité internationale - UI,Unité internationale - UI,Unité internationale - UI,Misc,N/A,
9d6540e1-3f10-11e4-adec-0800271c1b75,Goutte,Goutte,Goutte,Goutte,Misc,N/A,
9d5e14bb-3f10-11e4-adec-0800271c1b75,Cuillère à soupe,Cuillère à soupe,Cuillère à soupe,Cuillère à soupe,Misc,N/A,
9d5d5f6e-3f10-11e4-adec-0800271c1b75,Cuillère à café,Cuillère à café,Cuillère à café,Cuillère à café,Misc,N/A,
333f4c20-8a92-11e4-977f-0800271c1b75,Unité(s),Unité(s),Unité(s),Unité(s),Misc,N/A,
335ca7f3-682a-4c35-a9b4-a29e003d3cad,Bouffée(s),Bouffée(s),Bouffée(s),Bouffée(s),Misc,N/A,
