"uuid","Members","Answers","Fully specified name:fr","Fully specified name:en","Short name:fr","Short name:en","Units","Data class","Data type","_version:1","_order:1006"
"d1e359c5-f47b-402f-aa43-b173838f8af1",,,"Poids/Age DS","Weight/Age SD","Poids/Age DS","Weight/Age SD",,"Misc","Numeric",,
"054f846f-e90d-4e92-8f5f-1e3e233b0ba8",,,"Longueur/Taille","Length/Height","Longueur/Taille","Length/Height","cm","Misc","Numeric",,
"1163d5a3-71d8-4cd6-98ba-e093af108f9b",,,"Taille/ Age SD","Height/Age SD","Taille/ Age SD","Height/Age SD",,"Misc","Numeric",,
"45d4e001-5ca4-4c82-8fd1-e259fd4afab4",,,"Poids/Talle SD","Weight/Height SD","Poids/Talle SD","Weight/Height SD",,"Misc","Numeric",,
"07714a3a-85ad-4baa-b634-6a52e882f06c","Weight;Weight/Age SD;Length/Height;Height/Age SD;Weight/Height SD;Temperature;Normal nutrition;Acute malnutrition (Moderate if P / T between - 2 and - 3 SD, Severe if <- 3 SD);Chronic malnutrition (Moderate if T / A between - 2 and - 3 SD, Severe if <- 3 SD)",,"1. Paramétres enfante","1. Infant parameters","1. Paramétres enfante","1. Infant parameters",,"Misc","N/A",,
"afd873c6-bc0a-45ba-a1da-73b0fa15ef89","Recent TB contact;Contact with?;If other specify;Signs of tuberculosis",,"2. Comptage de TB","2. TB contact","2. Comptage de TB","2. TB contact",,"Misc","N/A",,
"51d38835-4e5c-4c76-b007-95269b2cef17","General health;Ear, Nose, Mouth, Throat;Cardiovascular;Respiratory;Gastro Intestinal;Genito-Urinary;Musculo-Skeletal;Skin, Hair And Breast;Neurologic;Psychiatric;Endocrinologic;Hematologic",,"3. Enquete des systemes","3. Review of systems","3. Enquete des systemes","3. Review of systems",,"Misc","N/A",,
"6069cf84-53e4-4337-b94d-831ae07fc2df","General Condition;Skin / Mucosa Exam;Head / neck Exam;Ear, nose, throat, mouth and ear Exam;Vision, hearing Exam;Cardiovascular Exam;Lung Exam;Abdomen Exam;Urogenital Exam;Musculoskeletal Exam;Psychomotor Development Exam;Neurological Exam;Adenopathies;Other systems;Signs or symptoms suggestive of Tuberculosis?;Diagnosis description",,"4. Examen système","4. Systemic exam","4. Examen système","4. Systemic exam",,"Misc","N/A",,
"05ce1efd-2046-494d-8378-43cf38fa450c",,,"Evènement depuis la dernière consultation (Pathologie aiguë, Evènement familial)","Events since last consultation (Acute Pathology, Family Event)","Evènement depuis la dernière consultation (Pathologie aiguë, Evènement familial)","Events since last consultation (Acute Pathology, Family Event)",,"Misc","Text",,
"932a67d0-b302-41bd-b999-2cf62fe906b8",,,"Rein (annonce non faite)","Nothing (disclosure not made)","Rein (annonce non faite)","Nothing (disclosure not made)",,"Misc","N/A",,
"6affbef6-9a21-4479-92da-920164a0a040",,,"Microbe, virus (annonce partielle)","Germs, virus (disclosure partially made)","Microbe, virus (annonce partielle)","Germs, virus (disclosure partially made)",,"Misc","N/A",,
"5032228d-b2f0-4076-b893-54626245bdbe",,,"VIH nimme (announce totale)","HIV known (disclosure totally made)","VIH nimme (announce totale)","HIV known (disclosure totally made)",,"Misc","N/A",,
"76a912af-702e-47a0-83c4-246900861296",,"Nothing (disclosure not made);Germs, virus (disclosure partially made);HIV Known (disclosure totally made)","Que sait l'enfant de sa maladie","What does the child know about their disease?","Que sait l'enfant de sa maladie","What does the child know about their disease?",,"Misc","Coded",,
"c229fc47-75b2-4ab9-b9a3-638acf21e623",,,"1 Rendez-vous manque","1 Missed appointment","1 Rendez-vous manque","1 Missed appointment",,"Misc","N/A",,
"4ff7cffa-7073-4664-ad56-49e6799b7b8c",,,"2 Rendez-vous manque","2 Missed appointments","2 Rendez-vous manque","2 Missed appointments",,"Misc","N/A",,
"79de4ba0-42c9-474f-952f-97b34d091af4",,,"3 Rendez-vous manque","3 Missed appointments","3 Rendez-vous manque","3 Missed appointments",,"Misc","N/A",,
"b142d835-0ac0-40f9-8a9f-764c76e8dfa9",,"Good;1 Missed appointment;2 Missed appointments;3 Missed appointments","Observance","Adherence","Observance","Adherence",,"Misc","Coded",,
"543780e5-ebeb-4edf-a618-dc1568037636",,,"Mauvaise comprehension TARV","Poor understanding of ART","Mauvaise comprehension TARV","Poor understanding of ART",,"Misc","N/A",,
"48ef9f6e-b4b4-4baf-82c7-0fbe7ca84829",,,"Pb psycholo (deni, refus)","Psycho Problem (denial, no disclosure)","Pb psycholo (deni, refus)","Psycho Problem (denial, no disclosure)",,"Misc","N/A",,
"73bba5a9-4adf-4625-9dd3-36f0d31a1a9e",,,"Pb social","Social Problem","Pb social","Social Problem",,"Misc","N/A",,
