Uuid,Void/Retire,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Description,Data class,Data type,Edit privilege,_order:1008
29b7e28c-71bf-4442-9f38-b9a9d57fadc9,,,Capsule(s),Capsule(s),Capsule(s),Capsule(s),,Misc,N/A,,
86239663-7b04-4563-b877-d7efc4fe6c46,,,Comprimé(s) / Tablet(s),Comprimé(s) / Tablet(s),Comprimé(s) / Tablet(s),Comprimé(s) / Tablet(s),,Misc,N/A,,
9d65f54b-3f10-11e4-adec-0800271c1b75,,,ml,ml,ml,ml,,Misc,N/A,,
9d6691d8-3f10-11e4-adec-0800271c1b75,,,mg,mg,mg,mg,,Misc,N/A,,
333eb629-8a92-11e4-977f-0800271c1b75,,,Unité internationale - UI / IU,Unité internationale - UI / IU,Unité internationale - UI / IU,Unité internationale - UI / IU,,Misc,N/A,,
9d6540e1-3f10-11e4-adec-0800271c1b75,,,Goutte / Drop,Goutte / Drop,Goutte / Drop,Goutte / Drop,,Misc,N/A,,
9d5e14bb-3f10-11e4-adec-0800271c1b75,,,Cuillère à soupe / Tablespoon,Cuillère à soupe / Tablespoon,Cuillère à soupe / Tablespoon,Cuillère à soupe / Tablespoon,,Misc,N/A,,
9d5d5f6e-3f10-11e4-adec-0800271c1b75,,,Cuillère à café / Teaspoon,Cuillère à café / Teaspoon,Cuillère à café / Teaspoon,Cuillère à café / Teaspoon,,Misc,N/A,,
333f4c20-8a92-11e4-977f-0800271c1b75,,,Unité(s) / Unit(s),Unité(s) / Unit(s),Unité(s) / Unit(s),Unité(s) / Unit(s),,Misc,N/A,,
335ca7f3-682a-4c35-a9b4-a29e003d3cad,,,Bouffée(s) / Puff(s),Bouffée(s) / Puff(s),Bouffée(s) / Puff(s),Bouffée(s) / Puff(s),,Misc,N/A,,
