Uuid,Void/Retire,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Description,Data class,Data type,Edit privilege,_order:1009
9d8e6918-3f10-11e4-adec-0800271c1b75,,,Immediately / Immédiatement,Immediately / Immédiatement,Immediately / Immédiatement,Immediately / Immédiatement,,Misc,N/A,,
9d77abd7-3f10-11e4-adec-0800271c1b75,,,Once a day / Une fois par jour,Once a day / Une fois par jour,Once a day / Une fois par jour,Once a day / Une fois par jour,,Misc,N/A,,
9d7c81f9-3f10-11e4-adec-0800271c1b75,,,Twice a day / Deux fois par jour,Twice a day / Deux fois par jour,Twice a day / Deux fois par jour,Twice a day / Deux fois par jour,,Misc,N/A,,
9d7d753b-3f10-11e4-adec-0800271c1b75,,,Thrice a day / Trois fois par jour,Thrice a day / Trois fois par jour,Thrice a day / Trois fois par jour,Thrice a day / Trois fois par jour,,Misc,N/A,,
9d83d5f2-3f10-11e4-adec-0800271c1b75,,,Four times a day / Quatre fois par jour,Four times a day / Quatre fois par jour,Four times a day / Quatre fois par jour,Four times a day / Quatre fois par jour,,Misc,N/A,,
33436036-8a92-11e4-977f-0800271c1b75,,,Every Hour / Toutes les heures,Every Hour / Toutes les heures,Every Hour / Toutes les heures,Every Hour / Toutes les heures,,Misc,N/A,,
3344f15b-8a92-11e4-977f-0800271c1b75,,,Every 2 hours / Toutes les 2 heures,Every 2 hours / Toutes les 2 heures,Every 2 hours / Toutes les 2 heures,Every 2 hours / Toutes les 2 heures,,Misc,N/A,,
33460abd-8a92-11e4-977f-0800271c1b75,,,Every 3 hours / Toutes les 3 heures,Every 3 hours / Toutes les 3 heures,Every 3 hours / Toutes les 3 heures,Every 3 hours / Toutes les 3 heures,,Misc,N/A,,
334ce904-8a92-11e4-977f-0800271c1b75,,,Every 4 hours / Toutes les 4 heures,Every 4 hours / Toutes les 4 heures,Every 4 hours / Toutes les 4 heures,Every 4 hours / Toutes les 4 heures,,Misc,N/A,,
334dbd41-8a92-11e4-977f-0800271c1b75,,,Every 6 hours / Toutes les 6 heures,Every 6 hours / Toutes les 6 heures,Every 6 hours / Toutes les 6 heures,Every 6 hours / Toutes les 6 heures,,Misc,N/A,,
334ea16c-8a92-11e4-977f-0800271c1b75,,,Every 8 hours / Toutes les 8 heures,Every 8 hours / Toutes les 8 heures,Every 8 hours / Toutes les 8 heures,Every 8 hours / Toutes les 8 heures,,Misc,N/A,,
334f851c-8a92-11e4-977f-0800271c1b75,,,Every 12 hours / Toutes les 12 heures,Every 12 hours / Toutes les 12 heures,Every 12 hours / Toutes les 12 heures,Every 12 hours / Toutes les 12 heures,,Misc,N/A,,
335071ea-8a92-11e4-977f-0800271c1b75,,,On alternate days / Un jour sur deux,On alternate days / Un jour sur deux,On alternate days / Un jour sur deux,On alternate days / Un jour sur deux,,Misc,N/A,,
33516e22-8a92-11e4-977f-0800271c1b75,,,Once a week / Une fois par semaine,Once a week / Une fois par semaine,Once a week / Une fois par semaine,Once a week / Une fois par semaine,,Misc,N/A,,
33523c55-8a92-11e4-977f-0800271c1b75,,,Twice a week / Deux fois par semaine,Twice a week / Deux fois par semaine,Twice a week / Deux fois par semaine,Twice a week / Deux fois par semaine,,Misc,N/A,,
3352f51b-8a92-11e4-977f-0800271c1b75,,,Thrice a week / Trois fois par semaine,Thrice a week / Trois fois par semaine,Thrice a week / Trois fois par semaine,Thrice a week / Trois fois par semaine,,Misc,N/A,,
3353b81e-8a92-11e4-977f-0800271c1b75,,,Every 2 weeks / Toutes les 2 semaines,Every 2 weeks / Toutes les 2 semaines,Every 2 weeks / Toutes les 2 semaines,Every 2 weeks / Toutes les 2 semaines,,Misc,N/A,,
33547af0-8a92-11e4-977f-0800271c1b75,,,Every 3 weeks / Toutes les 3 semaines,Every 3 weeks / Toutes les 3 semaines,Every 3 weeks / Toutes les 3 semaines,Every 3 weeks / Toutes les 3 semaines,,Misc,N/A,,
3355487f-8a92-11e4-977f-0800271c1b75,,,Once a month / Une fois par mois,Once a month / Une fois par mois,Once a month / Une fois par mois,Once a month / Une fois par mois,,Misc,N/A,,
33b40722-8a92-11e4-977f-0800271c1b75,,,Five times a day / Cinq fois par jour,Five times a day / Cinq fois par jour,Five times a day / Cinq fois par jour,Five times a day / Cinq fois par jour,,Misc,N/A,,
33b501b0-8a92-11e4-977f-0800271c1b75,,,Four days a week / Quatre jours par semaine,Four days a week / Quatre jours par semaine,Four days a week / Quatre jours par semaine,Four days a week/ Quatre jours par semaine,,Misc,N/A,,
33b5c447-8a92-11e4-977f-0800271c1b75,,,Five days a week / Cinq jours par semaine,Five days a week / Cinq jours par semaine,Five days a week / Cinq jours par semaine,Five days a week / Cinq jours par semaine,,Misc,N/A,,
33b68622-8a92-11e4-977f-0800271c1b75,,,Six days a week / Six jours par semaine,Six days a week / Six jours par semaine,Six days a week / Six jours par semaine,Six days a week / Six jours par semaine,,Misc,N/A,,
