Uuid,Void /Retire,Answers,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Description,Data class,Data type,Edit privilege,_order:1010
9d6a6195-3f10-11e4-adec-0800271c1b75,,,Intramuscular / Intramusculaire,Intramuscular / Intramusculaire,Intramuscular / Intramusculaire,Intramuscular / Intramusculaire,,Misc,N/A,,
33b1c5a3-8a92-11e4-977f-0800271c1b75,,,Nasal / Nasale,Nasal / Nasale,Nasal / Nasale,Nasal / Nasale,,Misc,N/A,,
33b16adb-8a92-11e4-977f-0800271c1b75,,,Topical / Topique,Topical / Topique,Topical / Topique,Topical / Topique,,Misc,N/A,,
335a4e0a-8a92-11e4-977f-0800271c1b75,,,Intraosseous / Intra osseux,Intraosseous / Intra osseux,Intraosseous / Intra osseux,Intraosseous / Intra osseux,,Misc,N/A,,
33599882-8a92-11e4-977f-0800271c1b75,,,Intrathecal / Intra thécale (niveau lombaire),Intrathecal / Intra thécale (niveau lombaire),Intrathecal / Intra thécale (niveau lombaire),Intrathecal / Intra thécale (niveau lombaire),,Misc,N/A,,
3358e040-8a92-11e4-977f-0800271c1b75,,,Intraperitoneal / Intra péritonéale,Intraperitoneal / Intra péritonéale,Intraperitoneal / Intra péritonéale,Intraperitoneal / Intra péritonéale,,Misc,N/A,,
33580f17-8a92-11e4-977f-0800271c1b75,,,Intradermal / Intradermique,Intradermal / Intradermique,Intradermal / Intradermique,Intradermal / Intradermique,,Misc,N/A,,
9d70d799-3f10-11e4-adec-0800271c1b75,,,Nasogastric / Nasogastric,Nasogastric / Nasogastric,Nasogastric / Nasogastric,Nasogastric / Nasogastric,,Misc,N/A,,
9d6f100e-3f10-11e4-adec-0800271c1b75,,,Sub Lingual / Sous-lingual,Sub Lingual / Sous-lingual,Sub Lingual / Sous-lingual,Sub Lingual / Sous-lingual,,Misc,N/A,,
9d6e3986-3f10-11e4-adec-0800271c1b75,,,Per Rectum / Par le rectum,Per Rectum / Par le rectum,Per Rectum / Par le rectum,Per Rectum / Par le rectum,,Misc,N/A,,
9d6d68b2-3f10-11e4-adec-0800271c1b75,,,Sub Cutaneous / Sous cutanée,Sub Cutaneous / Sous cutanée,Sub Cutaneous / Sous cutanée,Sub Cutaneous / Sous cutanée,,Misc,N/A,,
9d6c9153-3f10-11e4-adec-0800271c1b75,,,Per Vaginal / Par le vagin,Per Vaginal / Par le vagin,Per Vaginal / Par le vagin,Per Vaginal / Par le vagin,,Misc,N/A,,
9d6bc13f-3f10-11e4-adec-0800271c1b75,,,Oral / Orale,Oral / Orale,Oral / Orale,Oral / Orale,,Misc,N/A,,
9d6b10cc-3f10-11e4-adec-0800271c1b75,,,Intravenous / Intraveineuse,Intravenous / Intraveineuse,Intravenous / Intraveineuse,Intravenous / Intraveineuse,,Misc,N/A,,
33b2324f-8a92-11e4-977f-0800271c1b75,,,Inhalation / Inhalation,Inhalation / Inhalation,Inhalation / Inhalation,Inhalation / Inhalation,,Misc,N/A,,
