uuid,Members,Fully specified name:fr,Fully specified name:en,Short name:fr,Short name:en,Data class,Data type,_version:1,_order:1000
4f51209a-a2db-4c9e-ae2e-c67146d81bda,,ABC/3TC 120/60mg comprimé,ABC/3TC 120/60mg tablet,ABC/3TC 120/60mg comprimé,ABC/3TC 120/60mg tablet,Drug,N/A,,
8f33645f-f329-4361-acdf-56f29fa8f9ae,,ABC/3TC 60/30mg comprimé,ABC/3TC 60/30mg tablet,ABC/3TC 60/30mg comprimé,ABC/3TC 60/30mg tablet,Drug,N/A,,
c454cc90-a6cc-479a-9531-af41fd2f2600,,ABC/3TC 600/300mg comprimé,ABC/3TC 600/300mg tablet,ABC/3TC 600/300mg comprimé,ABC/3TC 600/300mg tablet,Drug,N/A,,
dd66b6c9-645a-48b6-aafd-a587b5389fde,,ATV 300/100mg comprimé,ATV 300/100mg tablet,ATV 300/100mg comprimé,ATV 300/100mg tablet,Drug,N/A,,
befe712d-9c12-43cc-add0-706c409368ec,,ATV/r 300/100mg comprimé,ATV/r 300/100mg tablet,ATV/r 300/100mg comprimé,ATV/r 300/100mg tablet,Drug,N/A,,
e0a2a251-cfdb-432f-b288-aa0b066ea310,,"AZT/3TC 300/150mg comprimé","AZT/3TC 300/150mg tablet","AZT/3TC 300/150mg comprimé","AZT/3TC 300/150mg tablet",Drug,N/A,,
89f77ff8-35b2-4ec6-9dec-005847a152ab,,AZT/3TC 60/30mg comprimé,AZT/3TC 60/30mg tablet,AZT/3TC 60/30mg comprimé,AZT/3TC 60/30mg tablet,Drug,N/A,,
d092bdbd-745d-46a1-ab24-2bcfbf6b3e9c,,AZT/3TC 600/300mg comprimé,AZT/3TC 600/300mg tablet,AZT/3TC 600/300mg comprimé,AZT/3TC 600/300mg tablet,Drug,N/A,,
376d08d3-1296-42d8-a06a-9b8c6f633539,,CTX 100/20mg comprimé,CTX 100/20mg tablet,CTX 100/20mg comprimé,CTX 100/20mg tablet,Drug,N/A,,
60a74ae9-d4c2-4b60-9623-d3871ceaf78d,,CTX 200/40mg/5ml sirop,CTX 200/40mg/5ml syrup,CTX 200/40mg/5ml sirop,CTX 200/40mg/5ml syrup,Drug,N/A,,
e0cc9fc2-fe32-4232-ac5c-edd5b03e09a5,,CTX 400/80mg comprimé,CTX 400/80mg tablet,CTX 400/80mg comprimé,CTX 400/80mg tablet,Drug,N/A,,
de6b8472-f453-4861-a946-2486a2aa402d,,DRV/r 600/100mg comprimé,DRV/r 600/100mg tablet,DRV/r 600/100mg comprimé,DRV/r 600/100mg tablet,Drug,N/A,,
6cc5bf38-ba32-4919-a1f2-1370c902d72b,,"DTG 50mg comprimé","DTG 50mg tablet","DTG 50mg comprimé","DTG 50mg tablet",Drug,N/A,,
f493557c-156f-4dfb-bcee-ffc724addef7,,EFV 200mg sirop,EFV 200mg syrup,EFV 200mg sirop,EFV 200mg syrup,Drug,N/A,,
2526bf8a-52ab-4296-8442-5500fdf0c0b6,,EFV 200mg comprimé,EFV 200mg tablet,EFV 200mg comprimé,EFV 200mg tablet,Drug,N/A,,
cc7b9488-582d-4f24-9750-62537e3145c2,,EFV 400mg comprimé,EFV 400mg tablet,EFV 400mg comprimé,EFV 400mg tablet,Drug,N/A,,
077af68b-6f98-438e-8d99-ec00553d7003,,"EFV 600mg comprimé","EFV 600mg tablet","EFV 600mg comprimé","EFV 600mg tablet",Drug,N/A,,
6a941aa0-e1b0-4312-8dd8-1375cc8b33ad,,INH 100mg comprimé,INH 100mg tablet,INH 100mg comprimé,INH 100mg tablet,Drug,N/A,,
9c4ced09-c9da-4660-b8b5-4083aa8cb9e4,,LPV/r 100/25mg capsule,LPV/r 100/25mg capsule,LPV/r 100/25mg capsule,LPV/r 100/25mg capsule,Drug,N/A,,
5453332c-e816-4af7-8ffc-7fc5f96b1b8c,,"LPV/r 200/50mg comprimé","LPV/r 200/50mg tablet","LPV/r 200/50mg comprimé","LPV/r 200/50mg tablet",Drug,N/A,,
5d529251-2caa-45a0-a265-07663177e9c6,,LPV/r 40/10mg capsule,LPV/r 40/10mg capsule,LPV/r 40/10mg capsule,LPV/r 40/10mg capsule,Drug,N/A,,
31f6976e-0e1f-457a-b09e-00633b14a1e1,,LPV/r 80/20mg/ml sirop,LPV/r 80/20mg/ml syrup,LPV/r 80/20mg/ml sirop,LPV/r 80/20mg/ml syrup,Drug,N/A,,
89495a4f-5606-41e4-8579-3e8adcae8b52,,NVP 10mg/ml sirop,NVP 10mg/ml syrup,NVP 10mg/ml sirop,NVP 10mg/ml syrup,Drug,N/A,,
ae08bc2b-6867-4909-9204-1fb7d66afc0d,,NVP 200mg comprimé,NVP 200mg tablet,NVP 200mg comprimé,NVP 200mg tablet,Drug,N/A,,
024dd07a-dc7f-4e16-a15f-a25879e7c7fd,,NVP 200mg/ml sirop,NVP 200mg/ml syrup,NVP 200mg/ml sirop,NVP 200mg/ml syrup,Drug,N/A,,
0bc364e0-1fff-4915-9afe-6ac8a65a84cd,,NVP 50mg comprimé,NVP 50mg tablet,NVP 50mg comprimé,NVP 50mg tablet,Drug,N/A,,
2eea742c-0515-48f0-bb3d-1ebac378412c,,NVP 50mg/ml sirop,NVP 50mg/ml syrup,NVP 50mg/ml sirop,NVP 50mg/ml syrup,Drug,N/A,,
61914198-831a-413c-a485-7ddfae7db511,,TDF/3TC 300/300mg comprimé,TDF/3TC 300/300mg tablet,TDF/3TC 300/300mg comprimé,TDF/3TC 300/300mg tablet,Drug,N/A,,
3c4ced86-62f4-4896-80af-dc7178eba32d,,TDF/3TC/DTG 300/100/50mg comprimé,TDF/3TC/DTG 300/100/50mg tablet,TDF/3TC/DTG 300/100/50mg comprimé,TDF/3TC/DTG 300/100/50mg tablet,Drug,N/A,,
d02f346a-2be4-4612-a15d-05ecd1f7ef3f,,"TDF/3TC/DTG 300/300/50mg comprimé","TDF/3TC/DTG 300/300/50mg tablet","TDF/3TC/DTG 300/300/50mg comprimé","TDF/3TC/DTG 300/300/50mg tablet",Drug,N/A,,
4fa37864-a283-4222-b227-7c9fb4feb4e8,,"TDF/3TC/EFV 300/300/400mg comprimé","TDF/3TC/EFV 300/300/400mg tablet","TDF/3TC/EFV 300/300/400mg comprimé","TDF/3TC/EFV 300/300/400mg tablet",Drug,N/A,,
61dce076-f155-41e6-a547-05fc49ff04dc,,TDF/3TC/EFV 300/300/600mg comprimé,TDF/3TC/EFV 300/300/600mg tablet,TDF/3TC/EFV 300/300/600mg comprimé,TDF/3TC/EFV 300/300/600mg tablet,Drug,N/A,,
2f8dba15-95b4-4e1e-a2cf-10f3b2510ed8,ABC/3TC 60/30mg tablet;AZT/3TC 60/30mg tablet;CTX 100/20mg tablet;CTX 200/40mg/5ml syrup;CTX 400/80mg tablet;EFV 200mg syrup;INH 100mg tablet;LPV/r 100/25mg capsule;LPV/r 40/10mg capsule;LPV/r 80/20mg/ml syrup;NVP 200mg tablet;NVP 50mg tablet;TDF/3TC/EFV 300/300/600mg tablet;ABC/3TC 120/60mg tablet;ABC/3TC 600/300mg tablet;DTG 50mg tablet;EFV 600mg tablet;NVP 10mg/ml syrup;TDF/3TC 300/300mg tablet;TDF/3TC/DTG 300/100/50mg tablet;TDF/3TC/DTG 300/300/50mg tablet;TDF/3TC/EFV 300/300/400mg tablet,Protocole de 1ère ligne,1st line protocol,Protocole de 1ère ligne,1st line protocol,ConvSet,N/A,,
da334532-dbb3-4456-b684-55fcb42e6fcb,AZT/3TC 60/30mg tablet;NVP 200mg tablet;ABC/3TC 120/60mg tablet;ABC/3TC 600/300mg tablet;EFV 600mg tablet;TDF/3TC 300/300mg tablet;ATV 300/100mg tablet;ATV/r 300/100mg tablet;AZT/3TC 300/150mg tablet;AZT/3TC 600/300mg tablet;EFV 200mg tablet;EFV 400mg tablet;LPV/r 200/50mg tablet;LPV/r 200/50mg tablet;NVP 200mg/ml syrup;NVP 50mg/ml syrup,Protocole de 2ème ligne,2nd line protocol,Protocole de 2ème ligne,2nd line protocol,ConvSet,N/A,,
89640844-136a-470e-9371-37b26dd7d3c2,ABC/3TC 600/300mg tablet;TDF/3TC 300/300mg tablet;AZT/3TC 300/150mg tablet;DTG 50mg tablet;DRV/r 600/100mg tablet,Protocole de 3ème ligne,3rd line protocol,Protocole de 3ème ligne,3rd line protocol,ConvSet,N/A,,
fa7e7514-146b-4add-92ee-95d6e03315e0,CTX 100/20mg tablet;CTX 200/40mg/5ml syrup;CTX 400/80mg tablet;INH 100mg tablet;NVP 50mg tablet;NVP 10mg/ml syrup,Child Prophylaxis,Child Prophylaxis,Child Prophylaxis,Child Prophylaxis,ConvSet,N/A,,
9e7f1f61-216f-44bb-b5bb-35c9a0d9d9ba,NVP 200mg tablet;LPV/r 200/50mg tablet;ABC/3TC 600/300mg tablet;TDF/3TC 300/300mg tablet;AZT/3TC 300/150mg tablet;EFV 600mg tablet;TDF/3TC/DTG 300/100/50mg tablet;TDF/3TC/DTG 300/300/50mg tablet;TDF/3TC/EFV 300/300/400mg tablet;DTG 50mg tablet;DRV/r 600/100mg tablet;ATV/r 300/100mg tablet;ATV 300/100mg tablet;AZT/3TC 600/300mg tablet;NVP 200mg/ml syrup;AZT/3TC 60/30mg tablet;ABC/3TC 120/60mg tablet;ABC/3TC 60/30mg tablet;INH 100mg tablet;CTX 400/80mg tablet;EFV 200mg syrup;LPV/r 100/25mg capsule;TDF/3TC/EFV 300/300/600mg tablet;LPV/r 40/10mg capsule;LPV/r 80/20mg/ml syrup;NVP 50mg tablet;CTX 100/20mg tablet;CTX 200/40mg/5ml syrup;EFV 200mg tablet;NVP 50mg/ml syrup;NVP 10mg/ml syrup;EFV 400mg tablet,Médicaments ARV,ARV drugs,Médicaments ARV,ARV drugs,ConvSet,N/A,,
6576bb44-02f4-4108-9c0a-4a6ad5b33f56,AZT/3TC 60/30mg tablet;ABC/3TC 120/60mg tablet;ABC/3TC 60/30mg tablet;LPV/r 40/10mg capsule;LPV/r 80/20mg/ml syrup;NVP 50mg tablet;NVP 10mg/ml syrup;CTX 100/20mg tablet;CTX 200/40mg/5ml syrup;INH 100mg tablet,0 - 5.9kg,0 - 5.9kg,0 - 5.9kg,0 - 5.9kg,ConvSet,N/A,,
562984e7-7614-4977-ab91-a1b2c15112e0,AZT/3TC 60/30mg tablet;ABC/3TC 120/60mg tablet;ABC/3TC 60/30mg tablet;LPV/r 40/10mg capsule;LPV/r 80/20mg/ml syrup;NVP 50mg tablet;NVP 10mg/ml syrup;CTX 100/20mg tablet;CTX 200/40mg/5ml syrup;INH 100mg tablet;CTX 400/80mg tablet,6 - 9.9 kg,6 - 9.9 kg,6 - 9.9 kg,6 - 9.9 kg,ConvSet,N/A,,
6a51a17e-53eb-435e-a4e6-4c01c56a191c,AZT/3TC 60/30mg tablet;ABC/3TC 120/60mg tablet;ABC/3TC 60/30mg tablet;INH 100mg tablet;CTX 400/80mg tablet;EFV 200mg syrup;LPV/r 100/25mg capsule;TDF/3TC/EFV 300/300/600mg tablet;NVP 200mg tablet,10 - 13.9 kg,10 - 13.9 kg,10 - 13.9 kg,10 - 13.9 kg,ConvSet,N/A,,
